Row Labels,Count of UID_MAP
ERCOT,212
AECPL,1
(blank),1
AEPCPL,2
842,1
857,1
AEPWTU,2
836,2
APS,1
PE-GSG1F,1
CENTERPOINT,2
ERCOT_BUS,2
CPT,6
350,1
360,3
680,1
BUS - CenterPoint,1
ONCOR,197
0,2
B0,24
BUS - ONCOR,1
D0,66
D6,19
DC,14
DJ,23
DQ,10
E0,24
K0,4
QC,1
R0,4
R4,3
R8,1
RC,1
Sharyland,1
(blank),1
MISO,34
AMEREN,1
DS3,1
AMERENCILCO,3
DS2U,2
DS3A,1
AMERENCIPS,4
DS2U,1
DS3A,1
DS3B,2
AMERENIP,26
DS10,1
DS11,1
DS12,1
DS13,1
DS14,1
DS15,1
DS16,1
DS17,1
DS18,1
DS19,1
DS20,1
DS21,1
DS22,1
DS23,1
DS24,1
DS25,1
DS26,1
DS27,1
DS2U,1
DS3A,1
DS3B,2
DS6,1
DS7,1
DS8,1
DS9,1
NEPOOL,57
BECO,1
R-3,1
CLP,7
1,1
5,1
7,1
30,1
40,1
DUM,1
(blank),1
CMP,10
2,1
4,1
9,1
10,1
21,1
104,1
655,1
662,1
MGS-S 3P,1
SGS-S 1P,1
COMELEC,2
G-4,1
R-3,1
FGE,3
10,1
2S,1
3S,1
LPNH,1
G02,1
NANT,1
R1,1
NHECO,16
B2X,1
B32X,1
BHX,1
BL3X,1
BX,1
INDCX,1
INDX,1
LB2X,1
LB32X,1
LT13X,1
LT15X,1
P9DX,1
PSKPX,1
PX,1
SKIA,1
SKIBX,1
NRI,2
B32,1
T2,1
PSNH,4
CWH,1
GSH,1
GTD,1
LCS,1
UI,6
M511111X,1
M541112X,1
M541113,1
M551113,1
U100000,1
U110000,1
UINH,4
G1,2
G2,2
NYISO,95
CENTHUD,46
201,12
247,1
E202,3
E205,1
E230,1
E235,1
E245,1
G100,2
G120,1
G200,5
G220,8
G420,7
G450,1
G501,1
G521,1
CMBRDG,1
G2,1
CMP,1
SGS,1
CONED,1
26,1
NIMO,15
SC10,1
SC11,1
SC12,1
SC13,1
SC14,1
SC15,1
SC1C,3
SC4,1
SC5,1
SC6,1
SC7,1
SC8,1
SC9,1
