Time,"NEPOOL_PSNH_80009011034,1"
8/14/2014 0:00,232.95
8/14/2014 1:00,219
8/14/2014 2:00,231.3
8/14/2014 3:00,203.85
8/14/2014 4:00,234.9
8/14/2014 5:00,224.7
8/14/2014 6:00,203.4
8/14/2014 7:00,194.7
8/14/2014 8:00,194.1
8/14/2014 9:00,191.7
8/14/2014 10:00,197.85
8/14/2014 11:00,209.85
8/14/2014 12:00,181.35
8/14/2014 13:00,178.5
8/14/2014 14:00,183.75
8/14/2014 15:00,182.7
8/14/2014 16:00,207
8/14/2014 17:00,177.75
8/14/2014 18:00,195.9
8/14/2014 19:00,172.8
8/14/2014 20:00,188.55
8/14/2014 21:00,173.25
8/14/2014 22:00,166.2
8/14/2014 23:00,176.55
8/15/2014 0:00,209.85
8/15/2014 1:00,243.45
8/15/2014 2:00,250.8
8/15/2014 3:00,219.6
8/15/2014 4:00,247.65
8/15/2014 5:00,210.75
8/15/2014 6:00,212.1
8/15/2014 7:00,192.75
8/15/2014 8:00,187.8
8/15/2014 9:00,173.25
8/15/2014 10:00,207.3
8/15/2014 11:00,195.15
8/15/2014 12:00,163.05
8/15/2014 13:00,194.55
8/15/2014 14:00,172.65
8/15/2014 15:00,167.1
8/15/2014 16:00,178.65
8/15/2014 17:00,160.5
8/15/2014 18:00,174.3
8/15/2014 19:00,158.7
8/15/2014 20:00,173.1
8/15/2014 21:00,166.05
8/15/2014 22:00,165.15
8/15/2014 23:00,192.9
8/16/2014 0:00,213.75
8/16/2014 1:00,236.25
8/16/2014 2:00,229.35
8/16/2014 3:00,217.05
8/16/2014 4:00,227.1
8/16/2014 5:00,212.1
8/16/2014 6:00,198.6
8/16/2014 7:00,170.85
8/16/2014 8:00,190.35
8/16/2014 9:00,164.55
8/16/2014 10:00,188.1
8/16/2014 11:00,151.95
8/16/2014 12:00,143.1
8/16/2014 13:00,153.45
8/16/2014 14:00,151.8
8/16/2014 15:00,138.6
8/16/2014 16:00,138.45
8/16/2014 17:00,139.5
8/16/2014 18:00,142.35
8/16/2014 19:00,144.9
8/16/2014 20:00,149.4
8/16/2014 21:00,150
8/16/2014 22:00,152.7
